"";"BE21";"BE22";"BE10";"BE23";"BE25";"BE31";"BE32";"BE24";"BE33";"BE34";"BE35";"NL31";"NL21";"NL42";"NL22";"NL23";"NL32";"NL33";"NL34";"NL11";"NL12";"NL13";"NL41";"LU00"
"BE21";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE22";55492,6126827683;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE10";50144,1464696348;75989,086520082;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE23";66754,5031409294;112650,710980801;44869,7434527733;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE25";118875,185453069;165884,511112477;94367,6675785242;53335,9024620334;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE31";63027,7481801653;69291,9289615833;23898,6707560129;67743,7037334893;114073,394919702;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE32";99852,5949983971;117898,294432607;49807,414508726;64556,4343405614;88895,4444017042;48693,1944297741;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE24";41231,4005031948;61112,7991884904;14878,2654915471;56399,3198567654;107803,928870763;22352,3574106248;61819,9851970875;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE33";106481,56345044;57467,5525282348;102727,25710571;147066,014176754;196728,927135485;83259,103446275;125062,301494407;90824,146381346;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE34";151792,730111739;115318,752680516;126735,044428039;169662,65843225;209796,457892646;102842,322402429;123188,285944139;121083,469925859;64158,8565318898;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
