"";"p";"q";"P";"Q";"m";"d";"D";"drift"
"1";1;1;3;0;12;0;1;-0,0356440408047743
"2";1;0;3;0;12;0;1;-0,0525542553875357
"3";1;0;1;0;12;0;1;-0,0355217923755416
"4";1;1;3;0;12;0;1;-0,0528895345382712
"5";1;1;3;0;12;0;1;-0,0377462514760328
"6";1;1;3;0;12;0;1;-0,0580053982102331
"7";1;1;3;0;12;0;1;-0,0404096930114121
"8";1;1;3;0;12;0;1;-0,0424622226363877
"9";1;0;1;0;12;0;1;-0,0287919202761139
"10";1;1;1;0;12;0;1;-0,022105042583303
"11";1;0;1;0;12;0;1;-0,0280567986000995
"12";1;1;1;0;12;0;1;-0,0219501199466914
"13";2;0;3;0;12;0;1;-0,0649236985980978
"14";3;1;3;0;12;0;1;-0,0666315206031339
"15";3;1;3;0;12;0;1;-0,0600429463484022
"16";3;1;3;0;12;0;1;-0,0546781694548378
"17";2;0;3;0;12;0;1;-0,0527800135023211
"18";2;0;3;0;12;0;1;-0,0604756603814082
"19";2;0;3;0;12;0;1;-0,0621480256522437
"20";2;0;3;0;12;0;1;-0,0710841453921511
"21";1;2;3;0;12;0;1;-0,0593245904023379
"22";1;0;3;0;12;0;1;-0,0634034768053469
"23";1;0;3;0;12;0;1;-0,0556691962035206
"24";1;0;2;0;12;0;1;-0,0400680166307097
